Código,X_UTM,Y_UTM
2759A,662093.875,6194522.435
2673A,599456.4706,6210705.328
2826,678831.249,6165701.975
2819,603362.1912,6177408.88
2757,642521.9024,6195729.453
2748,542725.1191,6196053.67
2725,703266.3221,6196823.01
2718,640783.0048,6202411.286
2715,613958.9301,6199005.714
2683,688288.7555,6207123.026
2680,668570.2351,6211936.193
2670,572715.3952,6206515.105
2498A,635947.5967,6250176.947
2549,679251.7054,6240583.527
2452,670149.8737,6248516.76
86545,570280.7098,6228090.942
2634,639959.7235,6221280.251
2759B,660990.2724,6199866.496
2588,624340.1849,6225714.203
2632A,616740.1991,6215496.975
