C¢digo,X_UTM,Y_UTM,POINT_X,POINT_Y
2673A,599456.47,6210705.33,-55.92,-34.24
2826,678831.25,6165701.97,-55.049,-34.635
2819,603362.19,6177408.88,-55.8736,-34.5398
2748,542725.12,6196053.67,-56.5353,-34.376
2725,703266.32,6196823.01,-54.79,-34.35
2715,613958.93,6199005.71,-55.761,-34.344
2683,688288.76,6207123.03,-54.955,-34.26
2680,668570.24,6211936.19,-55.17,-34.22
2670,572715.4,6206515.11,-56.21,-34.28
2498A,635947.6,6250176.95,-55.53,-33.88
2549,679251.71,6240583.53,-55.06,-33.96
86545,570280.71,6228090.94,-56.2382,-34.0856
2588,624340.18,6225714.2,-55.652,-34.102
2632A,616740.2,6215496.98,-55.733,-34.195
