"Year","Month","Flow"
1969,1,7888
1969,2,5951
1969,3,4296
1969,4,4173
1969,5,4539
1969,6,4857
1969,7,4018
1969,8,3110
1969,9,2541
1969,10,2822
1969,11,7583
1969,12,1975
1970,1,2416
1970,2,2752
1970,3,2277
1970,4,1814
1970,5,3948
1970,6,7754
1970,7,8986
1970,8,6041
1970,9,3528
1970,10,6168
1970,11,2842
1970,12,3604
1971,1,8905
1971,2,9658
1971,3,5439
1971,4,4757
1971,5,6561
1971,6,5572
1971,7,9024
1971,8,8854
1971,9,4190
1971,10,2219
1971,11,968
1971,12,501
1972,1,968
1972,2,1654
1972,3,2290
1972,4,3339
1972,5,2892
1972,6,16048
1972,7,12784
1972,8,12431
1972,9,18268
1972,10,12037
1972,11,10650
1972,12,6201
1973,1,6270
1973,2,11665
1973,3,6065
1973,4,5875
1973,5,12910
1973,6,10895
1973,7,14105
1973,8,10510
1973,9,11755
1973,10,7675
1973,11,3540
1973,12,1805
1974,1,4505
1974,2,4005
1974,3,3135
1974,4,1640
1974,5,3615
1974,6,6805
1974,7,4895
1974,8,4405
1974,9,5500
1974,10,2040
1974,11,2665
1974,12,3920
1975,1,3615
1975,2,2565
1975,3,4740
1975,4,3875
1975,5,7260
1975,6,5555
1975,7,4000
1975,8,6895
1975,9,10635
1975,10,8710
1975,11,5015
1975,12,5210
1976,1,4700
1976,2,3400
1976,3,5650
1976,4,3600
1976,5,1850
1976,6,5100
1976,7,2800
1976,8,8850
1976,9,4000
1976,10,3600
1976,11,5900
1976,12,4050
1977,1,6100
1977,2,7150
1977,3,5400
1977,4,6350
1977,5,3250
1977,6,3000
1977,7,9900
1977,8,10750
1977,9,6150
1977,10,5000
1977,11,5800
1977,12,4800
1978,1,2300
1978,2,2950
1978,3,2950
1978,4,900
1978,5,650
1978,6,1250
1978,7,5150
1978,8,5250
1978,9,3750
1978,10,2800
1978,11,8200
1978,12,5550
1979,1,946
1979,2,580
1979,3,1699
1979,4,1650
1979,5,5052
1979,6,2619
1979,7,3776
1979,8,6134
1979,9,3275
1979,10,15692
1979,11,12244
1979,12,7380
