ParameterNmbr	ParameterName	MinValue	MaxValue
1	ALPHA_BF	0.01	1
2	CH_K2	0.01	100
3	CH_W1	1	100
4	CN2_FRST	34	95
5	CN2_PAST	34	95
6	EPCO_FRST	0.01	1
7	EPCO_PAST	0.01	1
8	ESCO_FRST	0.01	1
9	ESCO_PAST	0.01	1
10	FLD_FR	0	1
11	GW_DELAY	0.01	100
12	GW_REVAP	0.02	0.2
13	GWQMN	0.1	300
14	HRU_SLP	0.01	1
15	OV_N	0.01	0.25
16	REVAPMN	0.01	300
17	SLSUBBSN	10	120
18	SOL_AWC1	0.01	0.95
19	SOL_AWC2	0.01	0.95
20	SOL_AWC3	0.01	0.95
21	SOL_AWC4	0.01	0.95
22	SOL_AWC5	0.01	0.95
23	SOL_AWC6	0.01	0.95
24	SOL_K1	0.1	150
25	SOL_K2	0.1	150
26	SOL_K3	0.1	150
27	SOL_K4	0.1	150
28	SOL_K5	0.1	150
29	SOL_K6	0.1	150
30	SURLAG	0.01	15
